"","video_name","up_name","watch_ct","chat_ct","chat_per1kview"
"1","全能发明家为何受穷？【小约翰】","
                小约翰可汗
              ",2428000,18000,7.41
"2","方便面不能吃，饮料不能喝，是谁在制造食品焦虑！ #科普 #方便面","
                中国食品报融媒体
              ",2070000,1258,0.61
"3","鉴定网络热门艺术（21）","
                站不起来的蒙蒙
              ",1884000,6001,3.19
"4","价格从几十元到一两万，剧组必备的场记板究竟有啥用？","
                影视飓风
              ",1187000,3045,2.57
"5","一首儿歌的爆红与变质，藏着流行音乐的世代革命","
                阿广Hiro
              ",1949000,10000,5.13
"6","罗车之辩第三轮！犀利反驳“人不如鹦鹉”论，车浩教授手中的教义学之剑与逻辑之盾","
                法山叔
              ",650000,25000,38.46
"7","【罗翔】案底伴随一生？未成年犯罪的案底应该封存或消灭吗？","
                罗翔说刑法
              ",842000,10000,11.88
"8","已经是73岁高龄，他仍然坚持要再到长江去游泳，畅游长江1小时毫无倦意，缅怀！","
                山西共青团
              ",1636000,0,0
"9","【花小烙】古代没有指纹识别技术，按了手印后耍赖怎么办？","
                画渣花小烙
              ",910000,2371,2.61
"10","探访福建东山岛的养殖基地，正赶上给鲍鱼放饭","
                无穷小亮的科普日常
              ",1041000,4597,4.42
"11","体内有水的石头","
                正经的知识
              ",1e+06,452,0.45
"12","【水果猎人】网络热门水果鉴定5","
                水果猎人杨晓洋
              ",1147000,6092,5.31
"13","六阿哥弘曕：天生富贵，因何早早病逝？【雍正王朝】","
                正直讲史-李正Str
              ",647000,10000,15.46
"14","【半佛】换皮就换皮，别扯新科技","
                硬核的半佛仙人
              ",1027000,2202,2.14
"15","站在英国顶端的两个人，为什么形象塑造天差地别？","
                王骁Albert
              ",7e+05,6558,9.37
"16","我，一战浙大425分，告诉你考研有多难","
                顾不得考研的Jerry
              ",667000,1194,1.79
"17","马里乌波尔还要打多久？【亚洲特快】","
                观察者网
              ",801000,7407,9.25
"18","【啊粥】诸葛亮的《出师表》，也许我们从未读懂（上篇）","
                啊粥粥啊粥
              ",464000,2623,5.65
"19","5月1号起打工人都要爽了笑了","
                王世英说法
              ",795000,2070,2.6
"20","为啥照镜子比手机自拍好看？哪个是真实的自己？","
                RGB工具人
              ",685000,3142,4.59
"21","接受授衔时，他早已泪流满面","
                四川共青团
              ",526000,447,0.85
"22","【活人烧烤炉】男女激情后引发世纪大火，400多人被活活堵死","
                郑郑得证
              ",629000,2277,3.62
"23","古猫丨汉代人是怎么吃烧烤的？","
                古猫丨陪你去看博物馆
              ",967000,492,0.51
"24","【资本山海经】全网最详，三星家族其实是个悲剧","
                曹小灵比比叨
              ",591000,2246,3.8
"25","真亦假时假亦真，真真假假分不清","
                朕知道了喔
              ",2673000,430,0.16
"26","歌手朴树的院士父亲，当科学家有了“叛逆”儿子","
                了不起De中国人
              ",631000,371,0.59
"27","同时被五步蛇和肾亏蛇咬了会有什么后果？抗凝血毒会把凝血毒抵消吗？","
                龙雅不爱吃
              ",492000,2528,5.14
"28","5月1日起打工人都要爽了笑了！记得点赞收藏！","
                张鹏宇律师
              ",409000,956,2.34
"29","让上万人破防的52岁男人，笑着揭开了农村的3层困境","
                王小七Fire
              ",283000,4244,15
"30","中国才拥有的手艺，一个作品完成至少用一年，成品很惊艳！","
                匠人集
              ",305000,444,1.46
"31","显卡降价真相：买卖信任崩塌，官方货也翻车【社会观察局93】","
                动动枪DongDongGun
              ",457000,3828,8.38
"32","【科学八卦史】他拯救了无数产妇 却被送进精神病院","
                芳斯塔芙
              ",238000,2014,8.46
"33","胃癌可能离年轻人很近，也可以很远！","
                六层楼先生
              ",338000,1182,3.5
"34","一个视频让你明白计算机二进制和十进制的区别","
                爱代码的喵酱
              ",2762000,274,0.1
"35","烂脚趾缝，又痒又臭，这种脚气一定要注意！","
                皮科医生魏小博
              ",233000,756,3.24
"36","被疫情""偷走""的青春三年：又想摆烂，又怕别人不摆烂","
                塑料叉FOKU
              ",267000,5470,20.49
"37","【医学博士】安乐死真的无痛吗？I  死一次需要花多少钱？","
                兔叭咯
              ",1995000,11000,5.51
"38","小伙因为没有给男子让座，遭到男子猛踹，男子：我在教他给老人让座","
                我也想静静了
              ",1557000,3026,1.94
"39","你愿意每秒花1400元体验一把当神舟飞船宇航员的感觉吗？零重力飞行体验","
                全球不知道
              ",887000,171,0.19
"40","凭一己之力，打脸整个日本，日本考古造假事件之详谈","
                我是江无情
              ",282000,2943,10.44
"41","女子一顿吃太多险被撑死：10个包子4个鸡腿30个雪糕3000毫升奶茶","
                怪兽纪实
              ",517000,761,1.47
"42","00后面试有多勇？","
                无处安放的小A
              ",561000,434,0.77
"43","古人花银子买东西，该如何找零钱？没想到方法这么粗暴","
                冷科普
              ",356000,455,1.28
"44","拍 个 表【微距世界】","
                微距世界MacroRoom
              ",3180000,268,0.08
"45","明朝才有宋体？黑体是日本舶来品？宋黑仿楷的起源 - oooooohmygosh","
                oooooohmygosh
              ",264000,286,1.08
"46","核大战后废土世界，为什么要捡瓶盖？","
                上将王司徒
              ",338000,390,1.15
"47","注意夹子方向｜","
                九玺书法
              ",364000,65,0.18
"48","主人遛狗时金毛被路人烤肠馋的一步三回头，主人举动亮了：看眼都是罪过","
                小熊视频video
              ",562000,102,0.18
"49","老藏家献宝！狐主任都没见过的“坦克雨花石”","
                中国国家地理
              ",248000,2209,8.91
"50","如果画面中只有眼睛，你能猜出来是哪些人物么？极简海报的灵感-新像素","
                蓝胖丨新像素UI设计
              ",1093000,456,0.42
"51","朝鲜给有功劳动者分房子！带装修和家电！5年5万套！","
                咕噜是个老猫娃
              ",451000,1456,3.23
"52","如何反击西方对我们的信息战？【范神论】","
                范勇鹏
              ",140000,5573,39.81
"53","“不用看了，时间不够了”北京一医生花式宽慰病人，网友：整懵了","
                血管科李友山
              ",1236000,219,0.18
"54","气球竞赛-铲破气球【太离谱了Ridiculous】","
                太离谱了Ridiculous
              ",366000,76,0.21
"55","【邓肯】日本男孩拥有前世记忆，画出生前车祸图片丨细思极恐！","
                勾手老大爷邓肯
              ",243000,5145,21.17
"56","逃离梅克伦堡监狱 | X调查","
                X调查
              ",252000,2463,9.77
"57","一人裸聊，全社会操心【懂点儿啥】","
                肝帝董佳宁
              ",266000,2063,7.76
"58","订的变态辣蛋挞被邻居小孩偷吃后把小孩辣哭了，要负法律责任吗？","
                桃矢王唯
              ",247000,326,1.32
"59","蒜苗生长速度能有多快","
                翱翔在碧海蓝天
              ",381000,127,0.33
"60","可以让自我“消散”的可怕毒品，如何启发脑科学的发展，最新的突破来自中国科学家！","
                NOV姐姐
              ",219000,2242,10.24
"61","世界上反射弧最长的人，该笑时不笑，不该笑时笑了！","
                世界之最0
              ",379000,36,0.09
"62","有用的时候代表时尚，没用的时候代表耻辱","
                每天涨知识
              ",204000,22,0.11
"63","你到底有多值钱？美国：也就三个亿吧","
                小热黑知识
              ",456000,272,0.6
"64","网购这几个生产地一定要记好","
                有用的知识l
              ",1082000,449,0.41
"65","收到offer后的高能回复","
                白发老赵
              ",196000,31,0.16
"66","学生操场上走秀，背后打篮球的男生成亮点","
                空间视角
              ",266000,7,0.03
"67","厦门海关怒抓2000蟑螂之弥天大案与美国机场小鸟猫粮","
                二条和飞飞
              ",238000,2183,9.17
"68","什么是光锥？为什么说光锥之内就是命运？","
                哎呀剧
              ",1390000,1147,0.83
"69","高速行驶时被重达3.5公斤的铁块砸中到“肝脏破裂”他用他生命中的最后76秒中救下了24名乘客，向英雄致敬！","
                华夏不朽人物
              ",4913000,21000,4.27
"70","作文押题？神舟十三！高考热点？航天素材！【学过石油的语文老师】","
                学过石油的语文老师
              ",120000,2687,22.39
"71","火遍全网的MBTI人格测试，到底靠不靠谱？","
                赛雷三分钟
              ",176000,989,5.62
"72","世界上最辣的10种辣椒，魔鬼椒仅排第8，第1堪称生化武器！","
                柴火说
              ",1822000,199,0.11
"73","我们的信仰从来都不是神","
                落叶居士之故事汇
              ",1785000,1406,0.79
"74","最令人满意的复仇方式","
                地球探知张探长
              ",642000,69,0.11
"75","中科院拒用知网？聊聊千万合作费用背后的学术垄断！","
                酒痴东梦
              ",178000,2051,11.52
"76","拒收“国防七子”，微软又想玩平衡术？","
                科工力量
              ",237000,403,1.7
"77","挪威七星级监狱，囚犯住豪华单间和狱警斗地主，每人年花费80万","
                见世君
              ",328000,934,2.85
"78","【小历说】杨贵妃的荔枝就是这么运来的？","
                你好历史旗舰店
              ",214000,73,0.34
"79","宫斗撕逼有多上头？《甄嬛传》怎样影响了互联网文化潮流？【暗中观察204】IC实验室","
                IC实验室
              ",242000,2347,9.7
"80","日本人种出方西瓜，10000一个出口美国？为啥他们不自产自销？","
                科学大魔王
              ",221000,1388,6.28
"81","【UE5】6小时成为游戏开发工程师【顶级虚幻5入门教程】全网最详细UE5中文字幕教程","
                3D建模侠
              ",62000,282,4.55
"82","之前做了两次失蜡法浇铸都失败了，今天全面升级装备再次挑战","
                老大南
              ",185000,662,3.58
"83","最凶残的棒打鸳鸯，妈妈我害怕！","
                不正经艺术007
              ",178000,18,0.1
"84","这些up主是中学生和大学生的救星啊啊啊啊啊！！！学习方法｜免费课程｜兴趣技能｜生涯规划","
                取景框看世界
              ",2792000,11000,3.94
"85","如果工业设计软件被卡，中国有什么后果","
                杨叔洞察
              ",135000,1884,13.96
"86","欧盟（萌）不只是弱鸡，还是国际议题的制造ji","
                傅正_
              ",162000,1791,11.06
"87","高考与考研逃避内卷就两条路 要不下工厂要不出国","
                储殷教授
              ",350000,724,2.07
"88","地龙","
                医者正心
              ",1425000,938,0.66
"89","被电影“耽误”的小说《芳华》，道出最隐秘的人性！【举人】","
                江湖举人
              ",134000,970,7.24
"90","大学老师为了讨好学生竟然偷他三岁孩子的玩具去给大学生玩…","
                力学渣
              ",234000,710,3.03
"91","钱已经够多了！央行“小气”印钞，货币与房子脱钩","
                蓝白argentina
              ",562000,1547,2.75
"92","作   文   摆   烂","
                国家玮-开明致学
              ",518000,2574,4.97
"93","【刘擎】B站的朋友们，大家好！我们先聊聊哲学到底有什么用？","
                刘擎教授
              ",201000,1519,7.56
"94","最新研究发现：大脑与肠道细菌有神秘联系","
                人民日报
              ",165000,150,0.91
"95","10后扛起非遗大旗，小男孩街边接力，陶醉打鼓，网友：国粹传承后继有人！","
                奇人匠心官方号
              ",527000,377,0.72
"96","中国人：好可爱呀  日本人：真是恶心","
                学会日语
              ",271000,180,0.66
"97","【阿尔兹海默症老人四处找老伴，老伴灵魂发问“那我是谁”，老人的回答太可爱了 】","
                向上的青少年
              ",999000,189,0.19
"98","【有声书】《三体》全3部（无删减版）","
                每天一本有声书
              ",88000,155,1.76
"99","汪涵皮筋穿越术！一众大咖惊呆了","
                魔术老白
              ",1155000,188,0.16
"100","这种福寿螺吃了真的能福寿吗？","
                打假侦探社
              ",2808000,230,0.08
